Category,Product Name,Short Description (AR),Short Description (EN),Image Link
Serum,EQQUAL BERRY BAKUCHIOL Plumping Serum,يساعد على ترطيب البشرة ومنحها مظهر ممتلئ وصحي.,Hydrates and plumps the skin for a healthy look.,https://www.google.com/search?tbm=isch&q=EQQUAL+BERRY+BAKUCHIOL+Plumping+Serum
Serum,EQQUAL BERRY GLOW FILTER VITAMIN illuminating Serum,يمنح إشراقة فورية ويحسن توحيد لون البشرة.,Boosts glow and improves skin radiance.,https://www.google.com/search?tbm=isch&q=EQQUAL+BERRY+GLOW+FILTER+VITAMIN+illuminating+Serum
Serum,EQQUAL BERRY LUSH BLUSH NAD+ PEPTIDE Boosting Serum,يعزز مرونة البشرة ويقلل علامات التعب.,Enhances elasticity and smoothness.,https://www.google.com/search?tbm=isch&q=EQQUAL+BERRY+LUSH+BLUSH+NAD++PEPTIDE+Boosting+Serum
Sunscreen,Beauty of Joseon Relief Sun: Rice + Probiotics SPF50+ PA++++,واقي شمس خفيف يحمي البشرة بدون ملمس دهني.,Lightweight sunscreen with strong protection.,https://www.google.com/search?tbm=isch&q=Beauty+of+Joseon+Relief+Sun:+Rice+++Probiotics+SPF50++PA++++
Sunscreen,Beauty of Joseon Relief Sun Aqua-fresh Rice + B5 SPF50+,تركيبة مائية مريحة تحمي وترطب بنفس الوقت.,Fresh watery sunscreen with hydration.,https://www.google.com/search?tbm=isch&q=Beauty+of+Joseon+Relief+Sun+Aqua-fresh+Rice+++B5+SPF50+
Serum,Axis-y Dark Spot Correcting Glow Serum,يخفف التصبغات ويمنح البشرة توهج صحي.,Helps reduce dark spots and dullness.,https://www.google.com/search?tbm=isch&q=Axis-y+Dark+Spot+Correcting+Glow+Serum
Eye Care,Axis-y Vegan Collagen Eye serum,يرطب محيط العين ويقلل مظهر الخطوط.,Moisturizes and smooths the eye area.,https://www.google.com/search?tbm=isch&q=Axis-y+Vegan+Collagen+Eye+serum
Set,Axis-y package,مجموعة متكاملة للعناية اليومية بالبشرة.,Complete daily skincare set.,https://www.google.com/search?tbm=isch&q=Axis-y+package
Serum,Anua AZELAIC ACID 10+ HYALURON,يساعد على تهدئة الحبوب وتحسين ملمس البشرة.,Soothes acne and improves texture.,https://www.google.com/search?tbm=isch&q=Anua+AZELAIC+ACID+10++HYALURON
Moisturizer,ANUA HEARTLEAF 70 DAILY LOTION,مرطب يومي خفيف يهدئ ويرطب البشرة.,Light daily moisturizer for calm skin.,https://www.google.com/search?tbm=isch&q=ANUA+HEARTLEAF+70+DAILY+LOTION
Cleanser,ANUA HEARTLEAF PORE CONTROL CLEANSING OIL MILD,ينظف المسام بعمق ويزيل المكياج والشوائب.,Deeply cleanses pores and removes makeup.,https://www.google.com/search?tbm=isch&q=ANUA+HEARTLEAF+PORE+CONTROL+CLEANSING+OIL+MILD
Cleanser,ANUA HEARTLEAF QUERCETINOL PORE DEEP CLEANSING FOAM,غسول لطيف ينقي البشرة بدون جفاف.,Gentle foaming cleanser for daily use.,https://www.google.com/search?tbm=isch&q=ANUA+HEARTLEAF+QUERCETINOL+PORE+DEEP+CLEANSING+FOAM
Cleanser,MADAGASCAR CENTELLA DOUBLE CLEANSING DUO,تنظيف مزدوج يترك البشرة نظيفة وناعمة.,Double cleansing for fresh skin.,https://www.google.com/search?tbm=isch&q=MADAGASCAR+CENTELLA+DOUBLE+CLEANSING+DUO
Eye Care,DR.ALTHEA TO BE YOUTHFUL EYE SERUM,يعزز شباب منطقة العين ويرطبها.,Revitalizes and hydrates eye area.,https://www.google.com/search?tbm=isch&q=DR.ALTHEA+TO+BE+YOUTHFUL+EYE+SERUM
Moisturizer,DR. ALTHEA 147 BARRIER CREAM,يقوي حاجز البشرة ويمنع الجفاف.,Strengthens skin barrier and locks moisture.,https://www.google.com/search?tbm=isch&q=DR.+ALTHEA+147+BARRIER+CREAM
Moisturizer,DR. ALTHEA 345 relief CREAM,كريم مهدئ يقلل الاحمرار ويعزز الراحة.,Soothing cream for sensitive skin.,https://www.google.com/search?tbm=isch&q=DR.+ALTHEA+345+relief+CREAM
Set,DR. ALTHEA 345 relief CREAM duo pack,باك مزدوج للعناية والترطيب المكثف.,Dual pack for intensive care.,https://www.google.com/search?tbm=isch&q=DR.+ALTHEA+345+relief+CREAM+duo+pack
Eye Care,SEOUL 1988 EYE CREAM RETINAL LIPOSOME,كريم عين يعزز النعومة ويقلل الخطوط.,Smooths fine lines around eyes.,https://www.google.com/search?tbm=isch&q=SEOUL+1988+EYE+CREAM+RETINAL+LIPOSOME
Set,SOMEBYMI GALACTOMYCES BRIGHTENING TRIAL KIT,مجموعة تفتيح تساعد على إشراقة البشرة.,Brightening skincare trial set.,https://www.google.com/search?tbm=isch&q=SOMEBYMI+GALACTOMYCES+BRIGHTENING+TRIAL+KIT
Eye Care,SOMEBYMI RETINOL INTENSE EYE CREAM,يستهدف التجاعيد ويرطب محيط العين.,Targets wrinkles and dryness.,https://www.google.com/search?tbm=isch&q=SOMEBYMI+RETINOL+INTENSE+EYE+CREAM
Exfoliant,medicube RED ACNE BODY PEELING SHOT,مقشر للجسم يساعد على تنقية البشرة.,Body exfoliator for clearer skin.,https://www.google.com/search?tbm=isch&q=medicube+RED+ACNE+BODY+PEELING+SHOT
Mask,medicube COLLAGEN NIGHT WRAPPING MASK,ماسك ليلي يمنح ترطيب وشد للبشرة.,Overnight mask for firm and soft skin.,https://www.google.com/search?tbm=isch&q=medicube+COLLAGEN+NIGHT+WRAPPING+MASK
Set,The Ordinary Lip & Lash Set,عناية للرموش والشفاه بتركيبة مغذية.,Nourishing care for lips and lashes.,https://www.google.com/search?tbm=isch&q=The+Ordinary+Lip+&+Lash+Set
Set,The Ordinary Mini Icons Set,مجموعة مصغرة للعناية اليومية بالبشرة.,Mini skincare essentials set.,https://www.google.com/search?tbm=isch&q=The+Ordinary+Mini+Icons+Set
Serum,The Ordinary Niacinamide 10% + Zinc 1%,ينظم إفراز الدهون ويقلل مظهر المسام.,Controls oil and refines pores.,https://www.google.com/search?tbm=isch&q=The+Ordinary+Niacinamide+10%+++Zinc+1%
Eye Care,The Ordinary Caffeine Solution 5%,يقلل الانتفاخ والهالات حول العين.,Reduces puffiness and dark circles.,https://www.google.com/search?tbm=isch&q=The+Ordinary+Caffeine+Solution+5%
Serum,The Ordinary Vitamin C Suspension 23%,يفتح البشرة ويعزز النضارة.,Brightens and evens skin tone.,https://www.google.com/search?tbm=isch&q=The+Ordinary+Vitamin+C+Suspension+23%
Serum,The Ordinary Hyaluronic Acid 2% + B5,يرطب بعمق ويمنح نعومة للبشرة.,Deep hydration and smooth finish.,https://www.google.com/search?tbm=isch&q=The+Ordinary+Hyaluronic+Acid+2%+++B5
Hair Care,The Ordinary Multi-Peptide Serum for Hair Density,يدعم كثافة الشعر ويقوي البصيلات.,Supports thicker and healthier hair.,https://www.google.com/search?tbm=isch&q=The+Ordinary+Multi-Peptide+Serum+for+Hair+Density
Serum,The Ordinary VITAMIN C Ascorbyl Glucoside 12%,مضاد أكسدة يمنح إشراقة صحية.,Antioxidant glow booster.,https://www.google.com/search?tbm=isch&q=The+Ordinary+VITAMIN+C+Ascorbyl+Glucoside+12%
Serum,The Ordinary Alpha Arbutin 2% + HA,يساعد على توحيد لون البشرة.,Improves uneven skin tone.,https://www.google.com/search?tbm=isch&q=The+Ordinary+Alpha+Arbutin+2%+++HA
Serum,The Ordinary Retinol 0.5% in Squalane,يحسن ملمس البشرة ويجددها.,Refines skin texture gently.,https://www.google.com/search?tbm=isch&q=The+Ordinary+Retinol+0.5%+in+Squalane
Treatment,The Ordinary Salicylic Acid 2%,يقلل الحبوب وينقي المسام.,Clears pores and reduces breakouts.,https://www.google.com/search?tbm=isch&q=The+Ordinary+Salicylic+Acid+2%
Serum,The Ordinary Retinol 0.2%,ريتينول لطيف لتجديد البشرة.,Mild retinol for renewal.,https://www.google.com/search?tbm=isch&q=The+Ordinary+Retinol+0.2%
