id,title,description,link,image_link,availability,price,sale_price,brand,gtin,mpn,identifier_exists,condition,google_product_category
85,"Eqqual Berry Bakuchiol Plumping Serum","**English:** Hydrates and plumps the skin for a healthy look. **العربية:** يساعد على ترطيب البشرة ومنحها مظهر ممتلئ وصحي.",https://poshystore.com/eqqual-berry-bakuchiol-plumping-serum,https://poshystore.com/images/EQQUAL%20BERRY%20BAKUCHIOL%20Plumping%20Serum/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
86,"Eqqual Berry Glow Filter Vitamin Illuminating Serum","**English:** Boosts glow and improves skin radiance. **العربية:** يمنح إشراقة فورية ويحسن توحيد لون البشرة.",https://poshystore.com/eqqual-berry-glow-filter-vitamin-illuminating-serum,https://poshystore.com/images/EQQUAL%20BERRY%20GLOW%20FILTER%20VITAMIN%20illuminating%20Serum%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
87,"Eqqual Berry Lush Blush Nad+ Peptide Boosting Serum","**English:** Enhances elasticity and smoothness. **العربية:** يعزز مرونة البشرة ويقلل علامات التعب.",https://poshystore.com/eqqual-berry-lush-blush-nad-plus-peptide-boosting-serum,https://poshystore.com/images/19%2025-30%203%20EQQUAL%20BERRY%20LUSH%20BLUSH%20NAD%2B%20PEPTIDE%20Boosting%20Serum%20B/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
88,"Beauty of Joseon Relief Sun: Rice + Probiotics SPF50+ PA++++","**English:** Lightweight sunscreen with strong protection. **العربية:** واقي شمس خفيف يحمي البشرة بدون ملمس دهني.",https://poshystore.com/beauty-of-joseon-relief-sun-rice-plus-probiotics-spf50-plus-pa-plus-plus-plus-plus,https://poshystore.com/images/Beauty%20of%20Joseon%20Relief%20Sun%20Rice%20%2B%20Probiotics%20SPF50%2B%20PA%2B%2B%2B%2B%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
89,"Beauty of Joseon Relief Sun Aqua-fresh Rice + B5 SPF50+","**English:** Fresh watery sunscreen with hydration. **العربية:** تركيبة مائية مريحة تحمي وترطب بنفس الوقت.",https://poshystore.com/beauty-of-joseon-relief-sun-aqua-fresh-rice-plus-b5-spf50-plus,https://poshystore.com/images/Beauty%20of%20Joseon%20Relief%20Sun%20Aqua-fresh%20Rice%20%2B%20B5%20SPF50%2B%20PA%2B%2B%20f/1.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
90,"Axis-y Dark Spot Correcting Glow Serum","**English:** Helps reduce dark spots and dullness. **العربية:** يخفف التصبغات ويمنح البشرة توهج صحي.",https://poshystore.com/axis-y-dark-spot-correcting-glow-serum,https://poshystore.com/images/Axis-y%20Dark%20Spot%20Correcting%20Glow%20Serum%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
91,"Axis-y Vegan Collagen Eye serum","**English:** Moisturizes and smooths the eye area. **العربية:** يرطب محيط العين ويقلل مظهر الخطوط.",https://poshystore.com/axis-y-vegan-collagen-eye-serum,https://poshystore.com/images/Axis-y%20Vegan%20Collagen%20Eye%20serum%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
92,"Axis-y package","**English:** Complete daily skincare set. **العربية:** مجموعة متكاملة للعناية اليومية بالبشرة.",https://poshystore.com/axis-y-package,https://poshystore.com/images/products/product_gallery/product_92/img_01.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
93,"Anua Azelaic Acid 10+ Hyaluron","**English:** Soothes acne and improves texture. **العربية:** يساعد على تهدئة الحبوب وتحسين ملمس البشرة.",https://poshystore.com/anua-azelaic-acid-10-plus-hyaluron,https://poshystore.com/images/Anua%20AZELAIC%20ACID%2010%2B%20HYALURON%20/1.png,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
94,"Anua Heartleaf 70 Daily Lotion","**English:** Light daily moisturizer for calm skin. **العربية:** مرطب يومي خفيف يهدئ ويرطب البشرة.",https://poshystore.com/anua-heartleaf-70-daily-lotion,https://poshystore.com/images/18%2024-28%2010%20ANUA%20HEARTLEAF%2070%20DAILY%20LOTION%20/1.webp,in_stock,"20.00 JOD",,"Poshy Lifestyle",,,no,new,"Health & Beauty > Personal Care > Cosmetics > Skin Care"
